State,Year,Season,Farm ID,Growth method,Total oysters,Oysters with burrows,Oysters with blisters,Prevalence
WA,2020,Winter,WA-10,on,25,5,10,0.6
WA,2020,Winter,WA-11,off,25,0,0,0
WA,2020,Winter,WA-11,on,25,0,0,0
WA,2020,Winter,WA-12,on,27,0,14,0.52
WA,2020,Winter,WA-13,on,25,1,18,0.76
WA,2020,Winter,WA-13,off,25,0,12,0.48
WA,2020,Winter,WA-14,on,25,1,14,0.6
WA,2020,Winter,WA-15,off,24,1,5,0.25
WA,2020,Winter,WA-15,on,25,7,8,0.6
WA,2020,Winter,WA-16,on,24,1,2,0.13
WA,2020,Summer,WA-1,off,23,0,0,0
WA,2020,Summer,WA-1,on,25,0,0,0
WA,2020,Summer,WA-2,on,25,0,1,0.04
WA,2020,Summer,WA-3,off,24,0,0,0
WA,2020,Summer,WA-3,on,25,0,0,0
WA,2020,Summer,WA-4,on,25,1,5,0.24
WA,2020,Summer,WA-4,off,19,0,1,0.05
WA,2020,Summer,WA-7,on,20,2,1,0.15
WA,2020,Summer,WA-7,off,20,1,1,0.1
WA,2020,Summer,WA-8,on,25,0,14,0.56
WA,2020,Summer,WA-8,off,25,0,22,0.88
WA,2020,Summer,WA-9,on,23,0,1,0.04
WA,2020,Summer,WA-10,on,25,6,2,0.32
WA,2020,Summer,WA-11,off,22,0,0,0
WA,2020,Summer,WA-11,on,25,0,2,0.08
WA,2020,Summer,WA-12,on,24,0,3,0.13
WA,2020,Summer,WA-13,on,23,1,15,0.7
WA,2020,Summer,WA-14,on,50,0,22,0.44
WA,2020,Summer,WA-15,on,20,0,1,0.05
WA,2020,Summer,WA-16,on,25,0,0,0
WA,2021,Winter,WA-1,off,24,0,1,0.04
WA,2021,Winter,WA-1,on,25,0,4,0.16
WA,2021,Winter,WA-2,on,25,0,0,0
WA,2021,Winter,WA-3,on,25,0,2,0.08
WA,2021,Winter,WA-4,on,19,2,12,0.74
WA,2021,Winter,WA-7,on,9,0,0,0
WA,2021,Winter,WA-7,off,13,0,8,0.62
WA,2021,Winter,WA-8,on,23,0,0,0
WA,2021,Winter,WA-9,on,25,1,2,0.12
WA,2021,Winter,WA-10,on,25,14,0,0.56
WA,2021,Winter,WA-11,on,25,1,1,0.08
WA,2021,Winter,WA-5,on,24,0,14,0.58
WA,2021,Winter,WA-12,on,25,2,21,0.92
WA,2021,Winter,WA-13,off,25,0,0,0
WA,2021,Winter,WA-13,on,24,0,11,0.46
WA,2021,Winter,WA-14,on,23,2,2,0.17
WA,2021,Winter,WA-15,on,18,2,12,0.78
WA,2021,Winter,WA-16,on,24,0,10,0.42
